Date,Price,Open,High,Low,Vol.,Change %,Change
5-Mar-14,"1,873.81","1,874.05","1,876.53","1,871.11",0,-0.01,-5.33644E-05
4-Mar-14,"1,873.91","1,849.23","1,876.23","1,849.23",0,1.53,0.015267672
3-Mar-14,"1,845.73","1,857.68","1,857.68","1,834.44",0,-0.74,-0.007378526
28-Feb-14,"1,859.45","1,855.12","1,867.92","1,847.67",0,0.28,0.002782736
27-Feb-14,"1,854.29","1,844.90","1,854.53","1,841.13",0,0.49,0.00494808
26-Feb-14,"1,845.16","1,845.79","1,852.65","1,840.66",0,0,2.16788E-05
25-Feb-14,"1,845.12","1,847.66","1,852.91","1,840.19",0,-0.13,-0.001347687
24-Feb-14,"1,847.61","1,836.78","1,858.71","1,836.78",0,0.62,0.006186521
21-Feb-14,"1,836.25","1,841.07","1,846.13","1,835.60",0,-0.19,-0.001918708
20-Feb-14,"1,839.78","1,829.24","1,842.79","1,824.58",0,0.6,0.006031442
19-Feb-14,"1,828.75","1,838.90","1,847.50","1,826.99",0,-0.65,-0.006524479
18-Feb-14,"1,840.76","1,839.03","1,842.87","1,835.01",0,0.12,0.001158471
14-Feb-14,"1,838.63","1,828.46","1,841.65","1,825.59",0,0.48,0.00480919
13-Feb-14,"1,829.83","1,814.82","1,830.25","1,809.22",0,0.58,0.005810055
12-Feb-14,"1,819.26","1,820.12","1,826.55","1,815.97",0,-0.03,-0.000269268
11-Feb-14,"1,819.75","1,800.45","1,823.54","1,800.41",0,1.11,0.011062094
10-Feb-14,"1,799.84","1,796.20","1,799.94","1,791.83",0,0.16,0.001569265
7-Feb-14,"1,797.02","1,776.01","1,798.03","1,776.01",0,1.33,0.013301906
6-Feb-14,"1,773.43","1,752.99","1,774.06","1,752.99",0,1.24,0.012439771
5-Feb-14,"1,751.64","1,753.38","1,755.79","1,737.92",0,-0.2,-0.002028259
4-Feb-14,"1,755.20","1,743.82","1,758.73","1,743.82",0,0.76,0.007641125
3-Feb-14,"1,741.89","1,782.68","1,784.83","1,739.66",0,-2.28,-0.022831947
31-Jan-14,"1,782.59","1,790.88","1,793.88","1,772.26",0,-0.65,-0.006465313
30-Jan-14,"1,794.19","1,777.17","1,798.77","1,777.17",0,1.13,0.01126705
29-Jan-14,"1,774.20","1,790.15","1,790.15","1,770.45",0,-1.02,-0.010209205
28-Jan-14,"1,792.50","1,783.00","1,793.87","1,779.49",0,0.61,0.006140686
27-Jan-14,"1,781.56","1,791.03","1,795.98","1,772.88",0,-0.49,-0.004876305
24-Jan-14,"1,790.29","1,826.96","1,826.96","1,790.29",0,-2.09,-0.020875491
23-Jan-14,"1,828.46","1,842.29","1,842.29","1,820.06",0,-0.89,-0.008889563
22-Jan-14,"1,844.86","1,844.71","1,846.87","1,840.88",0,0.06,0.0005749
21-Jan-14,"1,843.80","1,841.05","1,849.31","1,832.38",0,0.28,0.002773699
17-Jan-14,"1,838.70","1,844.23","1,846.04","1,835.23",0,-0.39,-0.00389514
16-Jan-14,"1,845.89","1,847.99","1,847.99","1,840.30",0,-0.13,-0.001347126
15-Jan-14,"1,848.38","1,840.52","1,850.84","1,840.52",0,0.52,0.005166188
14-Jan-14,"1,838.88","1,821.36","1,839.26","1,821.36",0,1.08,0.010817942
13-Jan-14,"1,819.20","1,841.26","1,843.45","1,815.52",0,-1.26,-0.012576193
10-Jan-14,"1,842.37","1,840.06","1,843.15","1,832.43",0,0.23,0.002306692
9-Jan-14,"1,838.13","1,839.00","1,843.23","1,830.38",0,0.03,0.000348301
8-Jan-14,"1,837.49","1,837.90","1,840.02","1,831.40",0,-0.02,-0.000212201
7-Jan-14,"1,837.88","1,828.71","1,840.10","1,828.71",0,0.61,0.006081773
6-Jan-14,"1,826.77","1,832.31","1,837.16","1,823.73",0,-0.25,-0.002511781
3-Jan-14,"1,831.37","1,833.21","1,838.24","1,829.13",0,-0.03,-0.000332973
2-Jan-14,"1,831.98","1,845.86","1,845.86","1,827.74",0,-0.89,-0.00886191
31-Dec-13,"1,848.36","1,842.61","1,849.44","1,842.41",0,0.4,0.003959654
30-Dec-13,"1,841.07","1,841.47","1,842.47","1,838.77",0,-0.02,-0.000179211
27-Dec-13,"1,841.40","1,842.97","1,844.89","1,839.81",0,-0.03,-0.000336587
26-Dec-13,"1,842.02","1,834.96","1,842.84","1,834.96",0,0.47,0.004745489
24-Dec-13,"1,833.32","1,828.02","1,833.32","1,828.02",0,0.29,0.002915771
23-Dec-13,"1,827.99","1,822.92","1,829.75","1,822.92",0,0.53,0.005318096
20-Dec-13,"1,818.32","1,810.39","1,823.75","1,810.25",0,0.48,0.004818744
19-Dec-13,"1,809.60","1,809.00","1,810.88","1,801.35",0,-0.06,-0.000579902
18-Dec-13,"1,810.65","1,781.46","1,811.08","1,767.99",0,1.66,0.016647951
17-Dec-13,"1,781.00","1,786.47","1,786.77","1,777.05",0,-0.31,-0.003100966
16-Dec-13,"1,786.54","1,777.48","1,792.22","1,777.48",0,0.63,0.006319987
13-Dec-13,"1,775.32","1,777.98","1,780.92","1,772.45",0,-0.01,-0.00010138
12-Dec-13,"1,775.50","1,781.71","1,782.99","1,772.28",0,-0.38,-0.003770578
11-Dec-13,"1,782.22","1,802.76","1,802.97","1,780.09",0,-1.13,-0.011316861
10-Dec-13,"1,802.62","1,807.60","1,808.52","1,801.75",0,-0.32,-0.003179659
9-Dec-13,"1,808.37","1,806.21","1,811.52","1,806.21",0,0.18,0.001817084
6-Dec-13,"1,805.09","1,788.36","1,806.04","1,788.36",0,1.12,0.011237906
5-Dec-13,"1,785.03","1,792.82","1,792.82","1,783.38",0,-0.43,-0.004339556
4-Dec-13,"1,792.81","1,793.15","1,799.80","1,779.09",0,-0.13,-0.001303512
3-Dec-13,"1,795.15","1,800.10","1,800.10","1,787.85",0,-0.32,-0.003192848
2-Dec-13,"1,800.90","1,806.55","1,810.02","1,798.60",0,-0.27,-0.002719001
29-Nov-13,"1,805.81","1,808.69","1,813.55","1,803.98",0,-0.08,-0.000785733
27-Nov-13,"1,807.23","1,803.48","1,808.27","1,802.77",0,0.25,0.002485092
26-Nov-13,"1,802.75","1,802.87","1,808.42","1,800.77",0,0.01,0.000149794
25-Nov-13,"1,802.48","1,806.33","1,808.10","1,800.58",0,-0.13,-0.001263326
22-Nov-13,"1,804.76","1,797.21","1,804.84","1,794.70",0,0.5,0.004961439
21-Nov-13,"1,795.85","1,783.52","1,797.16","1,783.52",0,0.81,0.008128575
20-Nov-13,"1,781.37","1,789.59","1,795.73","1,777.23",0,-0.36,-0.003635611
19-Nov-13,"1,787.87","1,790.79","1,795.51","1,784.72",0,-0.2,-0.002042947
18-Nov-13,"1,791.53","1,798.82","1,802.33","1,788.00",0,-0.37,-0.003698184
15-Nov-13,"1,798.18","1,790.66","1,798.22","1,790.66",0,0.42,0.004222001
14-Nov-13,"1,790.62","1,782.75","1,791.53","1,780.22",0,0.48,0.004837262
13-Nov-13,"1,782.00","1,764.37","1,782.00","1,760.64",0,0.81,0.008095311
12-Nov-13,"1,767.69","1,769.51","1,771.78","1,762.29",0,-0.24,-0.00237035
11-Nov-13,"1,771.89","1,769.96","1,773.44","1,767.85",0,0.07,0.000722915
8-Nov-13,"1,770.61","1,748.37","1,770.78","1,747.63",0,1.34,0.013427582
7-Nov-13,"1,747.15","1,770.74","1,774.54","1,746.20",0,-1.32,-0.013182791
6-Nov-13,"1,770.49","1,765.00","1,773.74","1,764.40",0,0.43,0.004265529
5-Nov-13,"1,762.97","1,765.67","1,767.03","1,755.76",0,-0.28,-0.002805541
4-Nov-13,"1,767.93","1,763.40","1,768.78","1,761.56",0,0.36,0.003570537
1-Nov-13,"1,761.64","1,758.70","1,765.67","1,752.70",0,0.29,0.002903435
31-Oct-13,"1,756.54","1,763.24","1,768.53","1,755.72",0,-0.38,-0.00383937
30-Oct-13,"1,763.31","1,772.27","1,775.22","1,757.24",0,-0.49,-0.004875984
29-Oct-13,"1,771.95","1,762.93","1,772.09","1,762.93",0,0.56,0.005584214
28-Oct-13,"1,762.11","1,759.42","1,764.99","1,757.67",0,0.13,0.001329719
25-Oct-13,"1,759.77","1,756.01","1,759.82","1,752.45",0,0.44,0.004394802
24-Oct-13,"1,752.07","1,747.48","1,753.94","1,745.50",0,0.33,0.003258168
23-Oct-13,"1,746.38","1,752.27","1,752.27","1,740.50",0,-0.47,-0.004724535
22-Oct-13,"1,754.67","1,746.48","1,759.33","1,746.48",0,0.57,0.005737508
21-Oct-13,"1,744.66","1,745.20","1,747.79","1,740.67",0,0.01,9.17168E-05
18-Oct-13,"1,744.50","1,736.72","1,745.31","1,735.74",0,0.65,0.00654877
17-Oct-13,"1,733.15","1,720.17","1,733.45","1,714.12",0,0.67,0.006743962
16-Oct-13,"1,721.54","1,700.49","1,721.76","1,700.49",0,1.38,0.013827544
15-Oct-13,"1,698.06","1,709.17","1,711.57","1,695.93",0,-0.71,-0.007063749
14-Oct-13,"1,710.14","1,699.86","1,711.03","1,692.13",0,0.41,0.004074683
11-Oct-13,"1,703.20","1,691.09","1,703.44","1,688.52",0,0.63,0.006286335
10-Oct-13,"1,692.56","1,660.88","1,692.56","1,660.88",0,2.18,0.021830476
9-Oct-13,"1,656.40","1,656.99","1,662.47","1,646.47",0,0.06,0.000573862
8-Oct-13,"1,655.45","1,676.22","1,676.79","1,655.03",0,-1.23,-0.012332053
7-Oct-13,"1,676.12","1,687.15","1,687.15","1,674.70",0,-0.85,-0.008506359
4-Oct-13,"1,690.50","1,678.79","1,691.94","1,677.33",0,0.71,0.007053245
3-Oct-13,"1,678.66","1,692.35","1,692.35","1,670.36",0,-0.9,-0.008979438
2-Oct-13,"1,693.87","1,691.90","1,693.87","1,680.34",0,-0.07,-0.000666667
1-Oct-13,"1,695.00","1,682.41","1,696.55","1,682.07",0,0.8,0.007998573
30-Sep-13,"1,681.55","1,687.26","1,687.26","1,674.99",0,-0.6,-0.00602926
27-Sep-13,"1,691.75","1,695.52","1,695.52","1,687.11",0,-0.41,-0.004073775
26-Sep-13,"1,698.67","1,694.05","1,703.85","1,693.11",0,0.35,0.003485411
25-Sep-13,"1,692.77","1,698.02","1,701.71","1,691.88",0,-0.27,-0.002739452
24-Sep-13,"1,697.42","1,702.60","1,707.63","1,694.90",0,-0.26,-0.002597189
23-Sep-13,"1,701.84","1,711.44","1,711.44","1,697.10",0,-0.47,-0.004719547
20-Sep-13,"1,709.91","1,722.44","1,725.23","1,708.89",0,-0.72,-0.007216926
19-Sep-13,"1,722.34","1,727.34","1,729.86","1,720.20",0,-0.18,-0.001842923
18-Sep-13,"1,725.52","1,705.74","1,729.44","1,700.35",0,1.22,0.012177667
17-Sep-13,"1,704.76","1,697.73","1,705.52","1,697.73",0,0.42,0.004217719
